Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22 00:00:00
0,0,0,0,2020-01-23 00:00:00
0,0,0,0,2020-01-24 00:00:00
0,0,0,0,2020-01-25 00:00:00
0,0,0,0,2020-01-26 00:00:00
0,0,0,0,2020-01-27 00:00:00
0,0,0,0,2020-01-28 00:00:00
0,0,0,0,2020-01-29 00:00:00
0,0,0,0,2020-01-30 00:00:00
0,0,0,0,2020-01-31 00:00:00
1,0,0,1,2020-02-01 00:00:00
1,0,0,1,2020-02-02 00:00:00
1,0,0,1,2020-02-03 00:00:00
1,0,0,1,2020-02-04 00:00:00
1,0,0,1,2020-02-05 00:00:00
1,0,0,1,2020-02-06 00:00:00
1,0,0,1,2020-02-07 00:00:00
1,0,0,1,2020-02-08 00:00:00
2,0,0,2,2020-02-09 00:00:00
2,0,0,2,2020-02-10 00:00:00
2,0,0,2,2020-02-11 00:00:00
2,0,0,2,2020-02-12 00:00:00
2,0,0,2,2020-02-13 00:00:00
2,0,0,2,2020-02-14 00:00:00
2,0,2,0,2020-02-15 00:00:00
2,0,2,0,2020-02-16 00:00:00
2,0,2,0,2020-02-17 00:00:00
2,0,2,0,2020-02-18 00:00:00
2,0,2,0,2020-02-19 00:00:00
2,0,2,0,2020-02-20 00:00:00
2,0,2,0,2020-02-21 00:00:00
2,0,2,0,2020-02-22 00:00:00
2,0,2,0,2020-02-23 00:00:00
2,0,2,0,2020-02-24 00:00:00
6,0,2,4,2020-02-25 00:00:00
13,0,2,11,2020-02-26 00:00:00
15,0,2,13,2020-02-27 00:00:00
32,0,2,30,2020-02-28 00:00:00
45,0,2,43,2020-02-29 00:00:00
84,0,2,82,2020-03-01 00:00:00
120,0,2,118,2020-03-02 00:00:00
165,1,2,162,2020-03-03 00:00:00
222,2,2,218,2020-03-04 00:00:00
259,3,2,254,2020-03-05 00:00:00
400,5,2,393,2020-03-06 00:00:00
500,10,30,460,2020-03-07 00:00:00
673,17,30,626,2020-03-08 00:00:00
1073,28,32,1013,2020-03-09 00:00:00
1695,35,32,1628,2020-03-10 00:00:00
2277,54,183,2040,2020-03-11 00:00:00
2277,55,183,2039,2020-03-12 00:00:00
5232,133,193,4906,2020-03-13 00:00:00
6391,195,517,5679,2020-03-14 00:00:00
7798,289,517,6992,2020-03-15 00:00:00
9942,342,530,9070,2020-03-16 00:00:00
11748,533,1028,10187,2020-03-17 00:00:00
13910,623,1081,12206,2020-03-18 00:00:00
17963,830,1107,16026,2020-03-19 00:00:00
20410,1043,1588,17779,2020-03-20 00:00:00
25374,1375,2125,21874,2020-03-21 00:00:00
28768,1772,2575,24421,2020-03-22 00:00:00
35136,2311,2575,30250,2020-03-23 00:00:00
39885,2808,3794,33283,2020-03-24 00:00:00
49515,3647,5367,40501,2020-03-25 00:00:00
57786,4365,7015,46406,2020-03-26 00:00:00
65719,5138,9357,51224,2020-03-27 00:00:00
73235,5982,12285,54968,2020-03-28 00:00:00
80110,6803,14709,58598,2020-03-29 00:00:00
87956,7716,16780,63460,2020-03-30 00:00:00
95923,8464,19259,68200,2020-03-31 00:00:00
104118,9387,22647,72084,2020-04-01 00:00:00
112065,10348,26743,74974,2020-04-02 00:00:00
119199,11198,30513,77488,2020-04-03 00:00:00
126168,11947,34219,80002,2020-04-04 00:00:00
131646,12641,38080,80925,2020-04-05 00:00:00
136675,13341,40437,82897,2020-04-06 00:00:00
141942,14045,43208,84689,2020-04-07 00:00:00
148220,14792,48021,85407,2020-04-08 00:00:00
153222,15447,52165,85610,2020-04-09 00:00:00
158273,16081,55668,86524,2020-04-10 00:00:00
163027,16606,59109,87312,2020-04-11 00:00:00
166831,17209,62391,87231,2020-04-12 00:00:00
170099,17756,64727,87616,2020-04-13 00:00:00
172541,18056,67504,86981,2020-04-14 00:00:00
177644,18708,70853,88083,2020-04-15 00:00:00
184948,19315,74797,90836,2020-04-16 00:00:00
190839,20002,74797,96040,2020-04-17 00:00:00
191726,20043,74797,96886,2020-04-18 00:00:00
198674,20453,77357,100864,2020-04-19 00:00:00
200210,20852,80587,98771,2020-04-20 00:00:00
204178,21282,82514,100382,2020-04-21 00:00:00
